structure	total_dataset	chosen
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	18	1
match (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	17	1
match (n0)-[r1]->(c1), (n0)-[r0]->(c1) WHERE[cond=2,ops=0]	17	1
match (n0)-[r0]->(n0), (c1)-[r0]->(n0) WHERE[none]	16	1
match (c1)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[none]	15	1
match (c1)-[r1]->(n0) WHERE[cond=1,ops=0]	14	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	14	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	14	1
match (n1)-[r0]->(c1) WHERE[cond=1,ops=0]	14	1
match (n0)-[r1]->(n0) WHERE[cond=2,ops=1]	14	2
match (n0)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[none]	13	1
match (n0)-[r0]->(c1) WHERE[cond=2,ops=0]	13	1
match (n0)-[r1]->(n0), (n0)-[r0]->(c1) WHERE[none]	13	2
match (c1)-[r1]->(n1) WHERE[none]	13	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	12	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	12	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	12	1
match (n0)-[r0]->(c1), (n0)-[r0]->(n0) WHERE[none]	11	1
match (n0)-[r0]->(c1), (c1)-[r0]->(n0) WHERE[none]	11	1
match (n0)-[r0]->(n0) WHERE[cond=1,ops=1]	11	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	11	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=1]	10	1
match (n0)-[r0]->(n1) WHERE[none]	10	1
match (n1)-[r1]->(n0), (n0)-[r0]->(c1) WHERE[none]	9	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	9	1
match (c1)-[r1]->(n0), (n0)-[r0]->(c1) WHERE[none]	9	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	8	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	8	2
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	8	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	8	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	8	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	8	1
match (n0)-[r1]->(n1) WHERE[cond=1,ops=0]	8	1
match (n0)-[r0]->(c1) WHERE[cond=1,ops=0]	7	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	7	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	7	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	7	1
match (n0)-[r1]->(n0) WHERE[cond=3,ops=0]	7	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	6	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	6	1
match (c1)-[r1]->(c1) WHERE[none]	6	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	6	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	6	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	6	1
match (n0)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[none]	6	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	6	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n1) WHERE[none]	6	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=2]	6	1
match (n1)-[r1]->(c1), (n1)-[r1]->(n0) WHERE[none]	5	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	5	1
match (n1)-[r0]->(n1) WHERE[none]	5	1
match (c1)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[none]	5	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=1]	5	1
match (c1)-[r1]->(c1) WHERE[cond=1,ops=0]	5	1
match (n2)-[r0]->(c1) WHERE[cond=2,ops=0]	5	1
match (c1)-[r0]->(n0) WHERE[cond=1,ops=1]	5	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	5	1
match (n0)-[r0]->(n0), (n0)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[none]	5	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	5	2
match (n0)-[r1]->(c1) WHERE[cond=1,ops=2]	5	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	5	1
match (c1)-[r1]->(n0) WHERE[cond=2,ops=0]	5	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	5	1
match (n1)-[r1]->(n0) WHERE[cond=2,ops=1]	5	2
match (n1)-[r1]->(n1) WHERE[cond=1,ops=0]	5	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	5	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	5	1
match (n1)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[none]	4	1
match (n1)-[r1]->(n1), (n0)-[r1]->(c1) WHERE[none]	4	1
match (n2)-[r1]->(c1) WHERE[none]	4	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=3,ops=0]	4	1
match (n1)-[r1]->(c1), (n0)-[r0]->(c1) WHERE[none]	4	1
match (c1)-[r0]->(n1) WHERE[none]	4	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	4	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	4	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	4	1
match (n1)-[r1]->(c1) WHERE[cond=3,ops=0]	4	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	4	1
match (n1)-[r1]->(n0) WHERE[cond=3,ops=0]	4	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	4	2
match (n0)-[r1]->(n1) WHERE[cond=2,ops=0]	4	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=2]	4	1
match (c1)-[r0]->(n0), (n0)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[none]	4	1
match (c1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	4	1
match (n1)-[r1]->(c1) WHERE[cond=2,ops=2]	4	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	4	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	4	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	4	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	4	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	4	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=2]	4	1
match (n0)-[r1]->(n1), (n0)-[r1]->(c1) WHERE[none]	3	1
match (n0)-[r1]->(n0), (c1)-[r0]->(n0) WHERE[none]	3	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	3	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=2]	3	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	3	1
match (n1)-[r0]->(n0) WHERE[cond=1,ops=1]	3	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[none]	3	1
match (n1)-[r1]->(n0) WHERE[cond=2,ops=2]	3	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r0]->(c1) WHERE[none]	3	1
match (n1)-[r1]->(c1), (n0)-[r0]->(c1) WHERE[cond=2,ops=0]	3	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	3	1
match (n0)-[r1]->(c1), (c1)-[r0]->(n0) WHERE[none]	3	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n1) WHERE[none]	3	1
match (n1)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[cond=2,ops=1]	3	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	3	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	3	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=2,ops=2]	3	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	3	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	3	1
match (n1)-[r1]->(c1), (n1)-[r1]->(n0) WHERE[cond=1,ops=0]	2	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	2	1
match (n0)-[r1]->(c1), (n1)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	2	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n1), (n0)-[r1]->(c1) WHERE[none]	2	1
match (c1)-[r1]->(c1) WHERE[cond=2,ops=0]	2	1
match (n0)-[r0]->(c1) WHERE[cond=3,ops=0]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n1) WHERE[none]	2	1
match (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=2]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=1]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	2	1
match (n0)-[r0]->(c1), (n0)-[r0]->(c1) WHERE[cond=2,ops=0]	2	1
match (n0)-[r1]->(n0) WHERE[cond=5,ops=0]	2	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	2	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	2	1
match (n1)-[r1]->(c1) WHERE[cond=2,ops=1]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	2	1
match (n1)-[r1]->(n0) WHERE[cond=3,ops=2]	2	1
match (n2)-[r1]->(n0) WHERE[cond=2,ops=0]	2	1
match (n0)-[r0]->(c1), (n0)-[r0]->(n0), (n0)-[r0]->(c1) WHERE[none]	2	1
match (c1)-[r1]->(n0), (c1)-[r0]->(n0) WHERE[none]	2	2
match (c1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	2	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=1]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=3,ops=0]	2	1
match (n0)-[r1]->(n0) WHERE[cond=2,ops=2]	2	1
match (c1)-[r0]->(n0) WHERE[cond=2,ops=0]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n1) WHERE[none]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n1), (n0)-[r1]->(c1) WHERE[none]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=1]	2	1
match (n0)-[r0]->(n0), (n0)-[r0]->(c1) WHERE[none]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[none]	2	1
match (n0)-[r1]->(c1) WHERE[cond=4,ops=0]	2	1
match (n0)-[r0]->(n0), (n0)-[r0]->(c1) WHERE[cond=1,ops=0]	2	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	2	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=2]	2	1
match (n1)-[r1]->(c1) WHERE[cond=6,ops=0]	2	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	2	1
match (c1)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[none]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n1), (n0)-[r1]->(c1) WHERE[none]	2	1
match (n2)-[r1]->(n1) WHERE[none]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	2	1
match (n1)-[r1]->(c1) WHERE[cond=1,ops=2]	2	1
match (n0)-[r1]->(n1), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	2	1
match (c1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	2	1
match (n0)-[r1]->(n0), (n0)-[r0]->(c1), (n0)-[r0]->(n0) WHERE[none]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[none]	2	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	2	1
match (n1)-[r1]->(c1) WHERE[cond=2,ops=4]	2	1
match (c1)-[r0]->(n0), (n0)-[r0]->(n0), (n0)-[r0]->(n0) WHERE[cond=1,ops=1]	2	1
match (c1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	2	1
match (n0)-[r0]->(n0), (n0)-[r0]->(c1), (n0)-[r0]->(n0) WHERE[none]	2	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	2	1
match (n0)-[r1]->(n0), (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	2	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	2	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	2	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r0]->(c1) WHERE[none]	2	1
match (n1)-[r0]->(n0) WHERE[cond=2,ops=1]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(n1), (n0)-[r1]->(c1) WHERE[cond=1,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=3,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n2), (n0)-[r1]->(c1) WHERE[none]	1	1
match (c1)-[r1]->(n0) WHERE[cond=1,ops=1]	1	1
match (n1)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r0]->(c1) WHERE[cond=3,ops=1]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r0]->(c1), (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=1,ops=1]	1	1
match (n1)-[r0]->(c1) WHERE[cond=3,ops=0]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r0]->(c1) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[cond=1,ops=2]	1	1
match (n0)-[r1]->(c1), (n0)-[r0]->(c1) WHERE[cond=1,ops=0]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=6,ops=0]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	1	1
match (n0)-[r1]->(c1) WHERE[cond=2,ops=2]	1	1
match (n0)-[r1]->(n1), (n0)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n1), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n1)-[r1]->(n1), (n1)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n1)-[r1]->(n1) WHERE[cond=4,ops=0]	1	1
match (n1)-[r1]->(n0) WHERE[cond=4,ops=4]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(c1), (n0)-[r1]->(n0) WHERE[cond=3,ops=0]	1	1
match (n1)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[cond=2,ops=2]	1	1
match (n1)-[r1]->(n0), (n0)-[r1]->(n0), (n1)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=1,ops=2]	1	1
match (c1)-[r1]->(n0), (c1)-[r1]->(n0) WHERE[none]	1	1
match (n1)-[r1]->(n1), (n0)-[r1]->(n1) WHERE[cond=1,ops=2]	1	1
match (n1)-[r1]->(n1), (n0)-[r1]->(n1) WHERE[none]	1	1
match (n0)-[r1]->(c1) WHERE[cond=2,ops=1]	1	1
match (n0)-[r1]->(n1) WHERE[cond=1,ops=1]	1	1
match (n0)-[r1]->(n0), (n1)-[r1]->(n0) WHERE[cond=1,ops=0]	1	1
match (n2)-[r1]->(c1) WHERE[cond=1,ops=0]	1	1
match (c1)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n1)-[r1]->(c1), (n0)-[r1]->(c1), (n0)-[r1]->(n0), (n0)-[r1]->(c1) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r0]->(n0) WHERE[cond=1,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=3,ops=0]	1	1
match (n0)-[r0]->(n0) WHERE[cond=2,ops=0]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=2,ops=4]	1	1
match (n0)-[r0]->(n0), (n0)-[r1]->(n0) WHERE[none]	1	1
match (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0), (n0)-[r1]->(n0) WHERE[cond=4,ops=8]	1	1
